iter	Passed	Remaining
0	143	143491
1	149	74493
2	155	51643
3	161	40167
4	167	33249
5	173	28762
6	178	25315
7	182	22602
8	185	20437
9	188	18667
10	191	17236
11	194	16025
12	197	14990
13	199	14060
14	201	13248
15	203	12539
16	206	11913
17	208	11396
18	211	10930
19	214	10505
20	216	10093
21	218	9723
22	220	9378
23	223	9094
24	226	8830
25	228	8577
26	231	8334
27	233	8105
28	235	7889
29	238	7706
30	241	7547
31	243	7376
32	246	7216
33	248	7063
34	250	6914
35	252	6771
36	256	6666
37	259	6558
38	261	6440
39	263	6325
40	265	6220
41	268	6115
42	271	6031
43	274	5966
44	277	5887
45	279	5804
46	282	5725
47	285	5670
48	288	5606
49	291	5545
50	294	5480
51	296	5410
52	298	5342
53	302	5294
54	304	5239
55	308	5202
56	310	5143
57	313	5091
58	315	5036
59	318	4995
60	321	4945
61	323	4897
62	325	4848
63	328	4801
64	332	4781
65	336	4764
66	338	4718
67	341	4673
68	343	4628
69	345	4585
70	347	4542
71	349	4509
72	352	4482
73	354	4442
74	357	4403
75	359	4366
76	361	4331
77	363	4294
78	366	4275
79	368	4243
80	371	4209
81	373	4180
82	375	4153
83	378	4123
84	381	4101
85	383	4077
86	385	4048
87	388	4021
88	390	3994
89	392	3968
90	394	3943
91	397	3921
92	399	3895
93	401	3872
94	404	3850
95	407	3836
96	410	3820
97	412	3800
98	414	3776
99	417	3753
100	420	3740
101	426	3752
102	428	3733
103	430	3710
104	432	3688
105	434	3666
106	436	3646
107	438	3625
108	440	3604
109	443	3584
110	445	3566
111	447	3547
112	449	3528
113	451	3508
114	453	3490
115	455	3471
116	457	3453
117	459	3435
118	461	3418
119	463	3401
120	466	3386
121	469	3379
122	473	3376
123	476	3366
124	479	3357
125	481	3341
126	483	3325
127	485	3309
128	487	3294
129	489	3279
130	492	3267
131	495	3260
132	497	3245
133	499	3230
134	501	3216
135	504	3203
136	506	3189
137	508	3178
138	511	3166
139	514	3159
140	516	3145
141	518	3131
142	520	3118
143	522	3104
144	525	3099
145	529	3097
146	531	3085
147	533	3072
148	535	3060
149	537	3047
150	540	3038
151	543	3033
152	545	3022
153	548	3011
154	550	2999
155	552	2989
156	556	2989
157	558	2978
158	561	2968
159	563	2957
160	565	2946
161	567	2936
162	570	2927
163	574	2929
164	577	2922
165	579	2913
166	581	2902
167	584	2892
168	586	2882
169	588	2874
170	591	2868
171	593	2858
172	596	2849
173	598	2840
174	600	2831
175	602	2822
176	606	2821
177	610	2818
178	612	2809
179	614	2800
180	616	2791
181	619	2783
182	623	2783
183	626	2777
184	628	2768
185	630	2759
186	632	2750
187	634	2740
188	638	2739
189	640	2731
190	642	2722
191	644	2713
192	646	2704
193	648	2695
194	650	2686
195	654	2682
196	656	2674
197	658	2665
198	660	2657
199	662	2649
200	664	2640
201	666	2632
202	669	2627
203	671	2619
204	673	2611
205	675	2604
206	677	2596
207	679	2588
208	681	2580
209	683	2573
210	686	2565
211	688	2558
212	690	2549
213	692	2542
214	694	2534
215	696	2526
216	698	2519
217	700	2512
218	702	2505
219	704	2498
220	706	2490
221	708	2482
222	710	2476
223	712	2469
224	714	2462
225	716	2455
226	718	2447
227	720	2441
228	723	2434
229	725	2427
230	727	2420
231	729	2414
232	731	2407
233	733	2400
234	735	2393
235	737	2386
236	739	2380
237	741	2373
238	743	2367
239	745	2360
240	747	2354
241	749	2348
242	751	2342
243	753	2334
244	755	2328
245	757	2321
246	759	2315
247	761	2309
248	764	2304
249	766	2300
250	768	2294
251	771	2289
252	773	2284
253	776	2279
254	778	2275
255	782	2275
256	785	2269
257	787	2263
258	789	2258
259	791	2253
260	793	2247
261	797	2245
262	799	2241
263	802	2236
264	804	2230
265	806	2225
266	808	2220
267	811	2216
268	814	2214
269	816	2208
270	819	2203
271	821	2197
272	823	2193
273	825	2187
274	828	2184
275	831	2181
276	833	2175
277	835	2170
278	837	2164
279	840	2161
280	845	2162
281	848	2160
282	851	2158
283	855	2156
284	861	2160
285	864	2159
286	868	2157
287	871	2153
288	873	2150
289	879	2154
290	883	2153
291	887	2150
292	889	2147
293	894	2148
294	897	2145
295	900	2140
296	902	2136
297	904	2131
298	910	2133
299	912	2129
300	915	2126
301	917	2121
302	920	2116
303	922	2112
304	926	2111
305	928	2106
306	930	2100
307	932	2095
308	934	2090
309	936	2085
310	940	2082
311	942	2078
312	944	2073
313	947	2069
314	949	2065
315	952	2060
316	954	2057
317	959	2056
318	961	2052
319	963	2047
320	966	2044
321	968	2039
322	973	2040
323	975	2035
324	978	2031
325	980	2027
326	983	2023
327	985	2018
328	987	2014
329	990	2011
330	993	2007
331	995	2002
332	997	1998
333	999	1993
334	1002	1989
335	1004	1984
336	1006	1980
337	1008	1975
338	1010	1970
339	1012	1966
340	1015	1961
341	1017	1957
342	1019	1952
343	1021	1947
344	1023	1942
345	1025	1938
346	1027	1933
347	1029	1929
348	1032	1925
349	1034	1920
350	1036	1916
351	1038	1912
352	1041	1908
353	1043	1904
354	1045	1900
355	1048	1896
356	1051	1893
357	1053	1890
358	1056	1885
359	1058	1881
360	1060	1877
361	1062	1873
362	1065	1869
363	1067	1865
364	1070	1863
365	1073	1858
366	1075	1855
367	1077	1850
368	1079	1846
369	1082	1842
370	1084	1839
371	1087	1836
372	1090	1832
373	1092	1828
374	1094	1823
375	1096	1819
376	1099	1816
377	1101	1812
378	1103	1808
379	1105	1804
380	1107	1799
381	1109	1795
382	1111	1791
383	1114	1787
384	1116	1783
385	1119	1780
386	1121	1776
387	1123	1772
388	1125	1768
389	1128	1765
390	1131	1763
391	1134	1758
392	1136	1754
393	1138	1750
394	1140	1746
395	1142	1742
396	1145	1739
397	1148	1737
398	1150	1733
399	1152	1729
400	1154	1725
401	1157	1721
402	1159	1717
403	1161	1713
404	1165	1711
405	1167	1708
406	1169	1704
407	1172	1700
408	1174	1697
409	1178	1696
410	1182	1694
411	1184	1691
412	1187	1687
413	1189	1683
414	1192	1680
415	1195	1678
416	1197	1674
417	1200	1671
418	1202	1667
419	1205	1664
420	1218	1676
421	1222	1674
422	1227	1674
423	1230	1671
424	1232	1667
425	1234	1663
426	1236	1659
427	1238	1655
428	1242	1653
429	1244	1649
430	1246	1645
431	1248	1641
432	1251	1638
433	1253	1634
434	1255	1630
435	1257	1627
436	1259	1623
437	1262	1619
438	1264	1615
439	1266	1611
440	1268	1608
441	1270	1604
442	1272	1600
443	1275	1596
444	1277	1592
445	1279	1589
446	1281	1585
447	1283	1581
448	1286	1578
449	1288	1574
450	1290	1570
451	1292	1566
452	1294	1563
453	1296	1559
454	1300	1558
455	1303	1554
456	1305	1550
457	1307	1547
458	1309	1543
459	1311	1540
460	1314	1536
461	1316	1532
462	1318	1529
463	1320	1525
464	1322	1522
465	1324	1518
466	1327	1514
467	1329	1511
468	1331	1507
469	1333	1503
470	1335	1500
471	1337	1496
472	1340	1493
473	1342	1489
474	1344	1486
475	1346	1482
476	1349	1479
477	1351	1475
478	1354	1472
479	1356	1470
480	1359	1466
481	1361	1462
482	1363	1459
483	1365	1455
484	1367	1452
485	1370	1449
486	1374	1447
487	1376	1444
488	1378	1440
489	1381	1437
490	1383	1433
491	1385	1430
492	1391	1431
493	1394	1428
494	1396	1425
495	1399	1421
496	1403	1420
497	1405	1416
498	1408	1413
499	1410	1410
500	1413	1408
501	1417	1406
502	1421	1404
503	1423	1401
504	1426	1398
505	1429	1395
506	1434	1394
507	1437	1392
508	1439	1388
509	1441	1385
510	1444	1381
511	1446	1378
512	1449	1376
513	1452	1373
514	1454	1369
515	1456	1366
516	1458	1362
517	1460	1359
518	1463	1356
519	1466	1353
520	1469	1351
521	1471	1347
522	1473	1344
523	1476	1340
524	1478	1337
525	1481	1335
526	1484	1332
527	1486	1328
528	1489	1326
529	1493	1324
530	1497	1322
531	1500	1319
532	1502	1316
533	1504	1313
534	1506	1309
535	1509	1306
536	1511	1303
537	1514	1300
538	1516	1297
539	1519	1294
540	1521	1291
541	1523	1287
542	1526	1284
543	1529	1282
544	1531	1278
545	1533	1275
546	1536	1272
547	1538	1268
548	1540	1265
549	1542	1262
550	1546	1259
551	1548	1256
552	1550	1253
553	1552	1250
554	1555	1246
555	1557	1243
556	1559	1240
557	1562	1237
558	1564	1234
559	1567	1231
560	1569	1227
561	1571	1224
562	1573	1221
563	1577	1219
564	1580	1216
565	1582	1213
566	1584	1210
567	1586	1206
568	1588	1203
569	1591	1200
570	1593	1197
571	1596	1194
572	1598	1191
573	1600	1187
574	1603	1184
575	1605	1181
576	1607	1178
577	1610	1175
578	1612	1172
579	1614	1168
580	1616	1165
581	1618	1162
582	1620	1159
583	1622	1155
584	1624	1152
585	1627	1149
586	1629	1146
587	1631	1143
588	1633	1139
589	1635	1136
590	1638	1133
591	1640	1130
592	1642	1127
593	1644	1124
594	1646	1121
595	1649	1117
596	1651	1114
597	1653	1111
598	1655	1108
599	1657	1105
600	1659	1102
601	1662	1098
602	1664	1095
603	1667	1093
604	1670	1090
605	1673	1088
606	1676	1085
607	1678	1082
608	1681	1079
609	1683	1076
610	1685	1073
611	1688	1070
612	1690	1067
613	1693	1064
614	1695	1061
615	1697	1058
616	1699	1055
617	1701	1051
618	1704	1049
619	1706	1046
620	1709	1043
621	1711	1040
622	1713	1037
623	1715	1033
624	1717	1030
625	1720	1027
626	1723	1025
627	1725	1022
628	1727	1018
629	1729	1015
630	1731	1012
631	1733	1009
632	1736	1006
633	1738	1003
634	1740	1000
635	1743	997
636	1745	994
637	1748	991
638	1751	989
639	1754	986
640	1756	983
641	1758	980
642	1761	977
643	1763	974
644	1765	971
645	1769	969
646	1789	976
647	1791	973
648	1793	970
649	1796	967
650	1798	964
651	1803	962
652	1805	959
653	1808	956
654	1810	953
655	1812	950
656	1814	947
657	1817	944
658	1820	941
659	1822	938
660	1824	935
661	1827	932
662	1829	929
663	1832	927
664	1836	924
665	1838	921
666	1840	918
667	1842	915
668	1844	912
669	1846	909
670	1850	907
671	1852	904
672	1854	901
673	1856	898
674	1858	894
675	1860	891
676	1863	888
677	1867	886
678	1869	883
679	1871	880
680	1873	877
681	1875	874
682	1877	871
683	1879	868
684	1882	865
685	1884	862
686	1886	859
687	1888	856
688	1890	853
689	1893	850
690	1895	847
691	1897	844
692	1899	841
693	1901	838
694	1903	835
695	1905	832
696	1908	829
697	1910	826
698	1913	823
699	1915	820
700	1917	817
701	1919	814
702	1921	811
703	1923	808
704	1925	805
705	1928	802
706	1930	799
707	1932	796
708	1934	793
709	1936	790
710	1938	787
711	1940	784
712	1942	781
713	1944	778
714	1946	775
715	1948	772
716	1950	769
717	1952	766
718	1955	764
719	1957	761
720	1959	758
721	1962	755
722	1964	752
723	1966	749
724	1968	746
725	1970	743
726	1972	740
727	1974	737
728	1976	734
729	1979	731
730	1981	729
731	1983	726
732	1986	723
733	1990	721
734	1993	718
735	1996	716
736	1998	713
737	2001	710
738	2003	707
739	2006	704
740	2009	702
741	2012	699
742	2014	696
743	2017	694
744	2019	691
745	2021	688
746	2023	685
747	2027	683
748	2029	680
749	2031	677
750	2034	674
751	2036	671
752	2038	668
753	2040	665
754	2043	663
755	2046	660
756	2048	657
757	2050	654
758	2052	651
759	2054	648
760	2057	646
761	2061	643
762	2063	640
763	2065	638
764	2067	635
765	2069	632
766	2071	629
767	2075	626
768	2077	624
769	2079	621
770	2081	618
771	2084	615
772	2086	612
773	2090	610
774	2092	607
775	2094	604
776	2097	601
777	2099	598
778	2101	596
779	2103	593
780	2106	590
781	2109	587
782	2111	585
783	2113	582
784	2115	579
785	2117	576
786	2119	573
787	2123	571
788	2125	568
789	2127	565
790	2129	562
791	2131	559
792	2133	557
793	2136	554
794	2139	551
795	2142	548
796	2144	546
797	2146	543
798	2148	540
799	2150	537
800	2153	535
801	2156	532
802	2158	529
803	2160	526
804	2162	523
805	2165	521
806	2167	518
807	2169	515
808	2172	512
809	2175	510
810	2177	507
811	2179	504
812	2181	501
813	2183	499
814	2186	496
815	2188	493
816	2191	490
817	2193	488
818	2195	485
819	2198	482
820	2200	479
821	2203	477
822	2205	474
823	2207	471
824	2210	468
825	2212	466
826	2214	463
827	2216	460
828	2218	457
829	2221	454
830	2223	452
831	2225	449
832	2227	446
833	2229	443
834	2231	441
835	2234	438
836	2236	435
837	2238	432
838	2240	429
839	2242	427
840	2244	424
841	2246	421
842	2248	418
843	2251	416
844	2253	413
845	2255	410
846	2257	407
847	2259	405
848	2261	402
849	2264	399
850	2266	396
851	2270	394
852	2272	391
853	2274	388
854	2276	386
855	2278	383
856	2280	380
857	2283	377
858	2286	375
859	2288	372
860	2290	369
861	2292	367
862	2295	364
863	2297	361
864	2300	358
865	2302	356
866	2304	353
867	2307	350
868	2309	348
869	2312	345
870	2315	342
871	2317	340
872	2319	337
873	2321	334
874	2323	331
875	2326	329
876	2328	326
877	2344	325
878	2348	323
879	2350	320
880	2352	317
881	2354	315
882	2356	312
883	2359	309
884	2364	307
885	2367	304
886	2369	301
887	2371	299
888	2374	296
889	2376	293
890	2381	291
891	2383	288
892	2385	285
893	2388	283
894	2390	280
895	2393	277
896	2397	275
897	2399	272
898	2404	270
899	2407	267
900	2411	264
901	2415	262
902	2432	261
903	2434	258
904	2436	255
905	2438	252
906	2440	250
907	2443	247
908	2445	244
909	2448	242
910	2450	239
911	2452	236
912	2454	233
913	2456	231
914	2459	228
915	2461	225
916	2465	223
917	2467	220
918	2469	217
919	2471	214
920	2474	212
921	2476	209
922	2478	206
923	2480	204
924	2482	201
925	2484	198
926	2486	195
927	2488	193
928	2490	190
929	2494	187
930	2496	185
931	2499	182
932	2501	179
933	2503	176
934	2505	174
935	2507	171
936	2509	168
937	2511	165
938	2513	163
939	2515	160
940	2517	157
941	2519	155
942	2521	152
943	2523	149
944	2525	146
945	2527	144
946	2529	141
947	2532	138
948	2534	136
949	2537	133
950	2539	130
951	2541	128
952	2543	125
953	2545	122
954	2547	120
955	2549	117
956	2552	114
957	2556	112
958	2558	109
959	2561	106
960	2563	104
961	2565	101
962	2568	98
963	2571	96
964	2573	93
965	2576	90
966	2578	87
967	2580	85
968	2582	82
969	2586	79
970	2588	77
971	2590	74
972	2593	71
973	2595	69
974	2597	66
975	2600	63
976	2604	61
977	2606	58
978	2608	55
979	2610	53
980	2612	50
981	2614	47
982	2616	45
983	2619	42
984	2621	39
985	2623	37
986	2625	34
987	2627	31
988	2629	29
989	2632	26
990	2636	23
991	2638	21
992	2641	18
993	2644	15
994	2648	13
995	2653	10
996	2655	7
997	2658	5
998	2660	2
999	2662	0
